"siteId","siteLabel","microsite","depth","rep","percentC","percentN"
18,"Ro5P1","open","0-5cm",1,2.58840736973948,0.0582627755511022
18,"Ro5P1","open","0-5cm",2,2.2454040519802,0.0499049504950495
18,"Ro5P1","open","0-5cm",3,2.5098499851742,0.056730417593279
18,"Ro5P1","open","6-15cm",1,1.1331563365336,0.0247901970692269
18,"Ro5P1","open","6-15cm",2,1.11711474716981,0.0257145911949685
18,"Ro5P1","open","6-15cm",3,1.20858751427862,0.02746637695555
18,"Ro5P1","smooth","0-5cm",1,5.44528036724566,0.101342183622829
18,"Ro5P1","smooth","0-5cm",2,5.59194462471569,0.107023982815264
18,"Ro5P1","smooth","0-5cm",3,5.68272862691055,0.105911976948133
18,"Ro5P1","smooth","6-15cm",1,1.69253156843157,0.0392259240759241
18,"Ro5P1","smooth","6-15cm",2,1.64671230632911,0.0301515443037975
18,"Ro5P1","smooth","6-15cm",3,1.92677441825476,0.0345486208625878
18,"Ro5P1","rough","0-5cm",1,2.87016654056745,0.0605461174713788
18,"Ro5P1","rough","0-5cm",2,2.83443579905261,0.0580864123659935
18,"Ro5P1","rough","0-5cm",3,2.76828122924411,0.056626790582404
18,"Ro5P1","rough","6-15cm",1,1.11309211877202,0.0221765475591344
18,"Ro5P1","rough","6-15cm",2,1.3453441809909,0.0269744691607685
18,"Ro5P1","rough","6-15cm",3,1.2232584142965,0.0239674049836396
19,"SHA 5pb","open","0-5cm",1,3.64850311249675,0.0918869836321123
19,"SHA 5pb","open","0-5cm",2,3.4176127144593,0.0870314945321993
19,"SHA 5pb","open","0-5cm",3,3.76037110993096,0.0949352628783856
19,"SHA 5pb","open","6-15cm",1,2.48394285714286,0.0596276497695853
19,"SHA 5pb","open","6-15cm",2,2.25132035986159,0.0556916262975779
19,"SHA 5pb","open","6-15cm",3,2.23798480036714,0.0553977053694355
19,"SHA 5pb","smooth","0-5cm",1,4.43989928180737,0.106606230677765
19,"SHA 5pb","smooth","0-5cm",2,4.44776599136837,0.105258796648896
19,"SHA 5pb","smooth","0-5cm",3,4.78961257111894,0.116149823895963
19,"SHA 5pb","smooth","6-15cm",1,4.04990754225547,0.0909453034081463
19,"SHA 5pb","smooth","6-15cm",2,3.02680415322581,0.0700421370967742
19,"SHA 5pb","smooth","6-15cm",3,2.88686017474186,0.069557108816521
19,"SHA 5pb","rough","0-5cm",1,6.01801560869565,0.13132125
19,"SHA 5pb","rough","0-5cm",2,5.94442994332351,0.131236091589209
19,"SHA 5pb","rough","0-5cm",3,5.92626126842968,0.131226725953663
19,"SHA 5pb","rough","6-15cm",1,4.25909680851064,0.0844613297872341
19,"SHA 5pb","rough","6-15cm",2,4.48622297621966,0.0884210835989213
19,"SHA 5pb","rough","6-15cm",3,4.91950154443905,0.0946999028654687
20,"FAL 5PB","open","0-5cm",1,4.29529327885598,0.125763432073544
20,"FAL 5PB","open","0-5cm",2,4.97247864369702,0.14434733388023
20,"FAL 5PB","open","0-5cm",3,4.79214563330825,0.135528066215199
20,"FAL 5PB","open","6-15cm",1,2.64747042887274,0.08212519334427
20,"FAL 5PB","open","6-15cm",2,2.50335810340479,0.0787134930643127
20,"FAL 5PB","open","6-15cm",3,2.67805913788487,0.0853253012048193
20,"FAL 5PB","smooth","0-5cm",1,4.29700553278689,0.0974234631147541
20,"FAL 5PB","smooth","0-5cm",2,5.39522749126109,0.11549346598548
20,"FAL 5PB","smooth","0-5cm",3,4.53608336170213,0.102476010638298
20,"FAL 5PB","smooth","6-15cm",1,4.21681283702213,0.0880848591549296
20,"FAL 5PB","smooth","6-15cm",2,3.92156432042338,0.0825664662015877
20,"FAL 5PB","smooth","6-15cm",3,4.2873616032888,0.0904549331963001
20,"FAL 5PB","rough","0-5cm",1,6.18892709798658,0.13120477852349
20,"FAL 5PB","rough","0-5cm",2,6.68382090461263,0.142380026869682
20,"FAL 5PB","rough","0-5cm",3,6.71476086597938,0.144884381443299
